,actual,actual_converted_goals
0,1,0
2,1,0
1,1,1
7,1,1
3,3,1
19,0,0
4,1,0
13,1,0
5,0,1
16,3,1
6,3,1
11,0,0
8,0,0
10,3,0
9,0,0
17,3,1
12,3,1
14,0,0
15,0,0
18,3,1
20,3,1
26,0,0
21,3,1
24,0,0
22,3,1
27,0,0
23,0,0
34,3,0
25,1,0
28,1,0
29,0,0
35,3,1
30,0,0
33,3,1
31,0,0
37,3,1
32,3,1
36,0,0
38,3,1
39,0,1
40,3,1
41,0,0
42,1,1
48,1,1
43,0,0
46,3,1
44,0,0
55,3,0
45,0,1
51,3,0
47,3,0
56,0,0
49,3,1
54,0,0
50,3,1
52,0,1
53,1,0
57,1,0
58,0,0
61,3,1
59,3,1
71,0,0
60,0,0
72,3,1
62,3,0
68,0,0
63,0,0
74,3,1
64,3,1
76,0,0
65,3,1
75,0,0
66,3,1
73,0,0
67,1,0
70,1,0
69,1,0
77,1,0
78,3,1
97,0,0
79,3,0
84,0,0
80,0,0
85,3,1
81,3,0
93,0,0
82,1,0
92,1,0
83,0,0
94,3,1
86,3,0
87,0,0
88,3,1
96,0,0
89,0,0
90,3,0
91,3,1
95,0,0
