,scheduled,team_name,opp_name,goals_for,goals_allowed,opp_goals_for,opp_goals_allowed,goal_efficiency,opp_defensive_goal_efficiency,opp_defensive_goal_efficiency,ratio_of_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_ratio_ball_safe_to_dangerous_attacks,offensive_ranking,opp_defensive_ranking,SVC,0,1,2
0,9/25/16 1:30,FC Dallas,Real Salt Lake,5,4,3,5,0.128205128,0.782608696,0.782608696,0.541528239,0.396946565,1.264705882,0.97037037,1,1,0,0.507651807,0.877706449,0.308001518
2,9/25/16 1:30,Real Salt Lake,FC Dallas,3,5,5,4,0.088235294,0.8,0.8,0.561933535,0.480263158,1.153310105,0.924012158,0.33333,1,3,-0.526331944,-0.663658076,-0.377851404
1,9/24/16 23:00,Colorado Rapids,Vancouver Whitecaps FC,1,2,3,3,0.041666667,0.896551724,0.896551724,0.482993197,0.591973244,1.05,1.15,0,0.66666,0,0.275481462,0.636412409,0.464108635
7,9/24/16 23:00,Vancouver Whitecaps FC,Colorado Rapids,3,3,1,2,0.142857143,0.925925926,0.925925926,0.450704225,0.503496503,1.079847909,1.021428571,0,1,3,0.253485967,-0.418003095,-0.593635033
3,9/24/16 0:00,New York City FC,Chicago Fire,6,7,6,4,0.214285714,0.888888889,0.888888889,0.480263158,0.490506329,0.924012158,1.029315961,0.33333,0.33333,1,-0.710251466,-0.4700342,0.053673555
19,9/24/16 0:00,Chicago Fire,New York City FC,6,4,6,7,0.206896552,0.862745098,0.862745098,0.476744186,0.541528239,0.914893617,1.264705882,0.66666,0,0,0.601113681,0.181524017,0.297455055
4,9/24/16 21:00,Philadelphia Union,Toronto FC,2,6,5,5,0.064516129,0.791666667,0.791666667,0.422712934,0.505119454,1.096885813,1.042704626,0.33333,1,0,0.182093008,1.011616371,0.764167561
13,9/24/16 21:00,Toronto FC,Philadelphia Union,5,5,2,6,0.161290323,0.837837838,0.837837838,0.645768025,0.5221843,1.1,1.140077821,0.66666,0,3,-0.65738315,-0.874298409,-0.631126538
5,9/25/16 20:00,LA Galaxy,Seattle Sounders,9,7,4,5,0.391304348,0.821428571,0.821428571,0.422310757,0.450704225,0.933085502,1.079847909,0.66666,0.66666,0,0.333586201,0.846957292,0.624769226
16,9/25/16 20:00,Seattle Sounders,LA Galaxy,4,5,9,7,0.181818182,0.8,0.8,0.591973244,0.541958042,1.15,1.067164179,0,0,3,-0.696651935,-0.760443246,-0.317944768
6,9/25/16 2:30,Sporting Kansas City,San Jose Earthquakes,5,7,1,3,0.178571429,0.88,0.88,0.541958042,0.482993197,1.067164179,1.05,0.33333,1,0,1.04167708,1.118622274,-0.022753955
11,9/25/16 2:30,San Jose Earthquakes,Sporting Kansas City,1,3,5,7,0.043478261,0.730769231,0.730769231,0.503496503,0.422310757,1.021428571,0.933085502,0,0.66666,3,0.205425899,-0.745490764,-0.834620654
8,9/24/16 23:00,Montreal Impact,NY Red Bulls,3,8,6,5,0.076923077,0.821428571,0.821428571,0.603174603,0.645768025,1.145454545,1.1,1,0.66666,1,-0.045502224,0.632603927,0.491948928
10,9/24/16 23:00,NY Red Bulls,Montreal Impact,6,5,3,8,0.2,0.68,0.68,0.505119454,0.430851064,1.042704626,1.160493827,0.66666,0.33333,3,-0.089164515,-0.463555775,-0.059370316
9,9/25/16 1:00,Portland Timbers,Houston Dynamo,4,4,5,6,0.114285714,0.8,0.8,0.5221843,0.561933535,1.140077821,1.153310105,0.66666,0.33333,0,0.612441264,1.118868763,0.913342419
