,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,goals_for,opp_goals_allowed,goal_efficiency,opp_defensive_goal_efficiency,ratio_of_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_ratio_ball_safe_to_dangerous_attacks,goals,points
0,249.0,21,FC Dallas,33.0,DC United,2016-03-26 21:30:00,4,3.0,0,4-2-3-1,4,5,-120.111111111,-62.1111111111,-6997.33333333,-7293.0,3396.0,722.333333333,3.0,3.0
1,255.0,21,FC Dallas,39.0,Columbus Crew,2016-04-03 01:00:00,5,3.0,1,4-2-3-1,5,4,-88.7777777778,-37.7777777778,-9370.55555556,-4396.33333333,3582.22222222,-1911.55555556,1.0,1.0
2,265.0,21,FC Dallas,32.0,San Jose Earthquakes,2016-04-10 01:00:00,6,3.0,1,4-4-2,6,5,-189.0,-50.1111111111,-9633.0,-9976.0,3680.55555556,1786.66666667,2.0,1.0
3,272.0,21,FC Dallas,30.0,Portland Timbers,2016-04-14 02:30:00,7,3.0,0,4-4-2,6,7,-150.777777778,-57.7777777778,-8341.66666667,-7280.0,2577.77777778,4138.66666667,3.0,3.0
4,282.0,21,FC Dallas,27.0,Sporting Kansas City,2016-04-17 23:00:00,7,3.0,1,4-4-2,6,2,-150.777777778,-165.0,-8341.66666667,-10975.8888889,2577.77777778,1530.55555556,2.0,3.0
5,289.0,21,FC Dallas,28.0,Vancouver Whitecaps FC,2016-04-24 02:30:00,8,3.0,0,4-4-2,7,5,-79.4444444444,-56.0,-4766.66666667,-6391.55555556,220.444444444,-181.0,0.0,0.0
6,295.0,21,FC Dallas,31.0,NY Red Bulls,2016-04-29 23:00:00,9,3.0,0,4-4-2,5,6,-88.7777777778,-77.7777777778,-5005.0,-9661.66666667,177.0,-1493.33333333,0.0,0.0
7,307.0,21,FC Dallas,34.0,Toronto FC,2016-05-07 23:30:00,10,3.0,0,4-2-3-1,2,2,-102.777777778,-49.7777777778,-6952.0,-7878.33333333,-894.111111111,-133.333333333,0.0,0.0
8,315.0,21,FC Dallas,30.0,Portland Timbers,2016-05-12 01:00:00,11,3.0,1,4-3-3,0,4,-75.1111111111,-128.0,-5952.44444444,-6144.0,-385.333333333,1200.0,2.0,3.0
9,324.0,21,FC Dallas,37.0,Seattle Sounders,2016-05-15 01:00:00,11,3.0,1,4-3-3,0,3,-75.1111111111,-27.0,-5952.44444444,-8096.0,-385.333333333,-939.555555556,2.0,3.0
10,334.0,21,FC Dallas,36.0,New England Revolution,2016-05-21 23:30:00,12,3.0,0,4-2-3-1,4,6,-42.7777777778,-4.11111111111,-6777.33333333,-6374.22222222,819.0,-1388.44444444,4.0,3.0
11,349.0,21,FC Dallas,32.0,San Jose Earthquakes,2016-05-29 02:30:00,13,3.0,0,4-4-2,8,4,-26.25,-74.25,-8058.0,-10720.25,1119.25,112.25,0.0,1.0
12,355.0,21,FC Dallas,38.0,Houston Dynamo,2016-06-03 01:00:00,14,3.0,1,4-2-3-1,6,2,-28.0,-45.0,-11560.0,-5280.0,2280.0,-2301.0,1.0,1.0
13,365.0,21,FC Dallas,27.0,Sporting Kansas City,2016-06-19 21:00:00,15,3.0,0,4-2-3-1,5,4,-56.0,16.0,-5664.0,-12367.0,165.0,231.0,0.0,0.0
14,376.0,21,FC Dallas,23.0,Real Salt Lake,2016-06-26 00:00:00,16,3.0,1,4-4-2,1,8,-80.0,39.0,-5940.0,-6110.0,436.25,522.0,2.0,3.0
15,386.0,21,FC Dallas,35.0,Orlando City SC,2016-07-05 01:00:00,18,3.0,1,4-3-3,3,6,-72.0,-33.4444444444,-6066.66666667,-7181.66666667,717.333333333,981.666666667,4.0,3.0
16,391.0,21,FC Dallas,32.0,San Jose Earthquakes,2016-07-09 02:30:00,18,3.0,0,4-3-3,3,4,-72.0,-42.7777777778,-6066.66666667,-4907.22222222,717.333333333,-383.444444444,1.0,3.0
