,match_id,scheduled,home_id,away_id,home_team,away_team,country_code
0,91.0,2016-10-29 11:30:00,60.0,43.0,Sunderland AFC,Arsenal FC,ENG
1,92.0,2016-10-29 14:00:00,57.0,50.0,Watford FC,Hull City,ENG
2,93.0,2016-10-29 14:00:00,58.0,53.0,Manchester United,Burnley FC,ENG
3,94.0,2016-10-29 14:00:00,54.0,52.0,Tottenham Hotspur,Leicester City,ENG
4,95.0,2016-10-29 14:00:00,46.0,42.0,West Bromwich Albion,Manchester City,ENG
5,96.0,2016-10-29 14:00:00,51.0,55.0,Middlesbrough FC,Bournemouth AFC,ENG
6,97.0,2016-10-29 16:30:00,59.0,56.0,Crystal Palace,Liverpool FC,ENG
7,98.0,2016-10-30 13:30:00,44.0,47.0,Everton FC,West Ham United,ENG
8,99.0,2016-10-30 16:00:00,41.0,48.0,Southampton FC,Chelsea FC,ENG
9,100.0,2016-10-31 20:00:00,49.0,45.0,Stoke City,Swansea City,ENG
0,101.0,2016-10-29 18:00:00,119.0,102.0,Stade Rennes,FC Metz,FRA
1,102.0,2016-10-29 18:00:00,108.0,117.0,AS Saint Etienne,AS Monaco,FRA
2,103.0,2016-10-29 18:00:00,112.0,106.0,EA Guingamp,SCO Angers,FRA
3,104.0,2016-10-29 18:00:00,101.0,115.0,Olympique Marseille,FC Girondins Bordeaux,FRA
4,105.0,2016-10-29 18:00:00,104.0,120.0,OGC Nice,FC Nantes,FRA
5,106.0,2016-10-29 18:00:00,109.0,107.0,FC Lorient,Montpellier HSC,FRA
6,107.0,2016-10-29 18:00:00,113.0,111.0,SC Bastia,Dijon FCO,FRA
7,108.0,2016-10-29 18:00:00,103.0,118.0,Lille OSC,Paris St Germain,FRA
8,109.0,2016-10-29 18:00:00,114.0,110.0,Toulouse FC,Olympique Lyon,FRA
9,110.0,2016-10-29 18:00:00,116.0,105.0,AS Nancy,SM Caen,FRA
0,91.0,2016-10-30 18:00:00,92.0,81.0,FC Barcelona,Granada CF,ESP
1,92.0,2016-10-30 18:00:00,98.0,85.0,Sporting Gijon,Sevilla FC,ESP
2,93.0,2016-10-30 18:00:00,91.0,82.0,Real Betis Balompie,Espanyol Barcelona,ESP
3,94.0,2016-10-30 18:00:00,100.0,87.0,Atletico Madrid,Malaga CF,ESP
4,95.0,2016-10-30 18:00:00,99.0,93.0,SD Eibar,Villarreal CF,ESP
5,96.0,2016-10-30 18:00:00,97.0,89.0,CD Leganes,Real Sociedad,ESP
6,97.0,2016-10-30 18:00:00,96.0,88.0,Las Palmas UD,Celta de Vigo,ESP
7,98.0,2016-10-30 18:00:00,84.0,94.0,Athletic Bilbao,CA Osasuna,ESP
8,99.0,2016-10-30 18:00:00,86.0,95.0,Deportivo La Coruna,Valencia CF,ESP
9,100.0,2016-10-30 18:00:00,83.0,90.0,CD Alaves,Real Madrid,ESP
0,73.0,2016-10-28 18:30:00,66.0,69.0,Monchengladbach,Eintracht Frankfurt,DEU
1,74.0,2016-10-29 13:30:00,77.0,74.0,SV Darmstadt 98,RB Leipzig,DEU
2,75.0,2016-10-29 13:30:00,68.0,76.0,FC Augsburg,Bayern Munich,DEU
3,76.0,2016-10-29 13:30:00,70.0,64.0,Werder Bremen,SC Freiburg,DEU
4,77.0,2016-10-29 13:30:00,73.0,72.0,1 FSV Mainz 05,FC Ingolstadt,DEU
5,78.0,2016-10-29 13:30:00,75.0,71.0,VfL Wolfsburg,Bayer Leverkusen,DEU
6,79.0,2016-10-29 16:30:00,67.0,62.0,Borussia Dortmund,FC Schalke 04,DEU
7,80.0,2016-10-30 14:30:00,61.0,63.0,1899 Hoffenheim,Hertha BSC,DEU
8,81.0,2016-10-30 16:30:00,78.0,65.0,1 FC Cologne,Hamburger SV,DEU
