,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,current_record,opp_record,goals_for,opp_goals_for,goals_against,opp_goals_against,rpi,goals,points,current_team_possession,current_team_yellow_cards,current_team_goal_attempts,current_team_dangerous_attacks,current_team_sec_half_goals,current_team_saves,current_team_corner_kicks,current_team_ball_safe,current_team_first_half_goals,current_team_shots_on_target,current_team_attacks,current_team_goal_attempts_allowed,current_team_goal_kicks,current_team_shots_total,opp_team_possession,opp_team_yellow_cards,opp_team_goal_attempts,opp_team_dangerous_attacks,opp_team_sec_half_goals,opp_team_saves,opp_team_corner_kicks,opp_team_ball_safe,opp_team_first_half_goals,opp_team_shots_on_target,opp_team_attacks,opp_team_goal_attempts_allowed,opp_team_goal_kicks,opp_team_shots_total,offensive_ranking,opp_defensive_ranking,rpi_ranking,opp_rpi_ranking
0,99.0,41,Southampton FC,48.0,Chelsea FC,2016-10-30 16:00:00,10,3.0,1,4-3-3,0.6428571428571429,1.0,4,9,2,0,0.47619047619047616,0,0,158.0,4.0,42.0,134.0,3,4.0,17.0,325.0,1,23.0,325.0,20.0,37.0,42.0,162.0,6.0,37.0,130.0,5,9.0,20.0,294.0,4,23.0,312.0,20.0,24.0,37.0,1.0,0.33333,0.33333,1.0
1,95.0,42,Manchester City,46.0,West Bromwich Albion,2016-10-29 14:00:00,10,3.0,0,5-4-1,0.35714285714285715,0.35714285714285715,2,3,4,4,0.505226480836237,0,0,173.0,5.0,31.0,182.0,2,8.0,26.0,300.0,0,17.0,353.0,20.0,17.0,31.0,136.0,8.0,20.0,138.0,2,14.0,12.0,285.0,1,10.0,261.0,35.0,33.0,20.0,0.66666,0.66666,0.66666,1.0
2,91.0,43,Arsenal FC,60.0,Sunderland AFC,2016-10-29 11:30:00,10,3.0,0,4-2-3-1,0.8333333333333334,0.1923076923076923,4,1,2,4,0.5602355072463768,0,0,186.0,,30.0,233.0,2,9.0,19.0,298.0,2,14.0,388.0,22.0,15.0,30.0,146.0,7.0,15.0,162.0,1,14.0,12.0,255.0,0,6.0,274.0,35.0,26.0,15.0,0.66666,1.0,0.66666,0.66666
3,98.0,44,Everton FC,47.0,West Ham United,2016-10-30 13:30:00,10,3.0,1,4-3-3,0.35714285714285715,0.8333333333333334,3,3,4,1,0.3862126245847176,0,0,148.0,10.0,20.0,140.0,2,13.0,19.0,288.0,1,12.0,318.0,20.0,20.0,20.0,131.0,8.0,34.0,144.0,2,5.0,16.0,243.0,1,12.0,282.0,23.0,26.0,34.0,0.0,0.33333,0.0,0.33333
4,100.0,45,Swansea City,49.0,Stoke City,2016-10-31 20:00:00,10,3.0,0,4-2-3-1,0.16666666666666666,0.8333333333333334,3,5,5,1,0.47708333333333336,0,0,139.0,5.0,29.0,123.0,1,9.0,16.0,291.0,2,16.0,272.0,26.0,27.0,29.0,145.0,1.0,26.0,167.0,2,11.0,15.0,335.0,3,16.0,330.0,25.0,31.0,26.0,0.66666,1.0,0.33333,0.0
5,95.0,46,West Bromwich Albion,42.0,Manchester City,2016-10-29 14:00:00,10,3.0,1,4-2-3-1,0.35714285714285715,0.35714285714285715,3,2,4,4,0.5786267995570322,0,0,136.0,8.0,20.0,138.0,2,14.0,12.0,285.0,1,10.0,261.0,35.0,33.0,20.0,173.0,5.0,31.0,182.0,2,8.0,26.0,300.0,0,17.0,353.0,20.0,17.0,31.0,0.0,0.0,1.0,0.66666
6,98.0,47,West Ham United,44.0,Everton FC,2016-10-30 13:30:00,10,3.0,0,3-4-3,0.8333333333333334,0.35714285714285715,3,3,1,4,0.47494172494172493,0,0,131.0,8.0,34.0,144.0,2,5.0,16.0,243.0,1,12.0,282.0,23.0,26.0,34.0,148.0,10.0,20.0,140.0,2,13.0,19.0,288.0,1,12.0,318.0,20.0,20.0,20.0,1.0,0.66666,0.33333,0.0
7,99.0,48,Chelsea FC,41.0,Southampton FC,2016-10-30 16:00:00,10,3.0,0,3-4-3,1.0,0.6428571428571429,9,4,0,2,0.6501623376623377,0,0,162.0,6.0,37.0,130.0,5,9.0,20.0,294.0,4,23.0,312.0,20.0,24.0,37.0,158.0,4.0,42.0,134.0,3,4.0,17.0,325.0,1,23.0,325.0,20.0,37.0,42.0,1.0,0.0,1.0,0.33333
8,100.0,49,Stoke City,45.0,Swansea City,2016-10-31 20:00:00,10,3.0,1,4-2-3-1,0.8333333333333334,0.16666666666666666,5,3,1,5,0.4147286821705426,0,0,145.0,1.0,26.0,167.0,2,11.0,15.0,335.0,3,16.0,330.0,25.0,31.0,26.0,139.0,5.0,29.0,123.0,1,9.0,16.0,291.0,2,16.0,272.0,26.0,27.0,29.0,0.66666,0.0,0.0,0.33333
9,92.0,50,Hull City,57.0,Watford FC,2016-10-29 14:00:00,10,3.0,0,4-1-4-1,0.0,0.6875,1,3,10,2,0.4602713178294574,0,0,128.0,7.0,20.0,113.0,0,14.0,14.0,318.0,1,9.0,305.0,40.0,24.0,20.0,136.0,5.0,21.0,131.0,3,14.0,12.0,276.0,0,11.0,252.0,34.0,31.0,21.0,0.0,1.0,0.33333,0.33333
