,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,diff_goal_for,diff_goal_allowed,diff_attacks,diff_dangerous_attacks,diff_goal_attempts,diff_ball_safe,goals_for,goals_allowed,goals,points,offensive_ranking,opp_defensive_ranking
0,900.0,21,FC Dallas,23.0,Real Salt Lake,2016-09-25 01:30:00,28,3.0,0,4-2-3-1,16,-9,-2106.66666667,-891.888888889,40.5555555556,-2858.33333333,5,4,0,0,1.0,1.0
1,896.0,22,Colorado Rapids,28.0,Vancouver Whitecaps FC,2016-09-24 23:00:00,28,3.0,0,4-2-3-1,-8,-5,642.222222222,420.0,15.0,1025.66666667,1,2,0,0,0.0,0.66666
2,900.0,23,Real Salt Lake,21.0,FC Dallas,2016-09-25 01:30:00,28,3.0,1,4-3-3,-16,9,2106.66666667,891.888888889,-40.5555555556,2858.33333333,3,5,0,0,0.33333,1.0
3,894.0,24,New York City FC,40.0,Chicago Fire,2016-09-24 00:00:00,28,3.0,1,4-3-3,0,33,2872.44444444,687.444444444,-6.33333333333,3190.77777778,6,7,0,0,0.33333,0.33333
4,895.0,25,Philadelphia Union,34.0,Toronto FC,2016-09-24 21:00:00,28,3.0,0,4-2-3-1,-21,11,-141.333333333,-2720.0,0.0,-64.3333333333,2,6,0,0,0.33333,1.0
5,902.0,26,LA Galaxy,37.0,Seattle Sounders,2016-09-25 20:00:00,28,3.0,1,4-4-2,65,24,-2933.33333333,-2232.55555556,5.0,529.0,9,7,0,0,0.66666,0.66666
6,901.0,27,Sporting Kansas City,32.0,San Jose Earthquakes,2016-09-25 02:30:00,28,3.0,0,4-3-3,24,40,0.0,365.444444444,28.3333333333,-730.666666667,5,7,0,0,0.33333,1.0
7,896.0,28,Vancouver Whitecaps FC,22.0,Colorado Rapids,2016-09-24 23:00:00,28,3.0,1,4-4-2,8,5,-642.222222222,-420.0,-15.0,-1025.66666667,3,3,0,0,0.0,1.0
8,898.0,29,Montreal Impact,31.0,NY Red Bulls,2016-09-24 23:00:00,28,3.0,0,4-2-3-1,-27,39,1486.22222222,1577.33333333,69.0,-370.666666667,3,8,0,0,1.0,0.66666
9,899.0,30,Portland Timbers,38.0,Houston Dynamo,2016-09-25 01:00:00,28,3.0,0,4-2-3-1,-9,-20,1911.66666667,1399.22222222,82.3333333333,-761.222222222,4,4,0,0,0.66666,0.33333
10,898.0,31,NY Red Bulls,29.0,Montreal Impact,2016-09-24 23:00:00,28,3.0,1,4-2-3-1,27,-39,-1486.22222222,-1577.33333333,-69.0,370.666666667,6,5,0,0,0.66666,0.33333
11,901.0,32,San Jose Earthquakes,27.0,Sporting Kansas City,2016-09-25 02:30:00,28,3.0,1,4-4-1-1,-24,-40,0.0,-365.444444444,-28.3333333333,730.666666667,1,3,0,0,0.0,0.66666
12,897.0,33,DC United,35.0,Orlando City SC,2016-09-24 23:00:00,28,3.0,1,4-1-4-1,-13,-32,2196.33333333,169.444444444,55.2222222222,2845.0,6,7,0,0,1.0,0.0
13,895.0,34,Toronto FC,25.0,Philadelphia Union,2016-09-24 21:00:00,28,3.0,1,4-3-1-2,21,-11,141.333333333,2720.0,0.0,64.3333333333,5,5,0,0,0.66666,0.0
14,897.0,35,Orlando City SC,33.0,DC United,2016-09-24 23:00:00,28,3.0,0,4-2-3-1,13,32,-2196.33333333,-169.444444444,-55.2222222222,-2845.0,7,9,0,0,1.0,0.0
15,903.0,36,New England Revolution,39.0,Columbus Crew,2016-09-25 23:00:00,28,3.0,0,4-3-1-2,28,-32,5973.33333333,-295.111111111,99.6666666667,2575.55555556,8,2,0,0,1.0,0.33333
16,902.0,37,Seattle Sounders,26.0,LA Galaxy,2016-09-25 20:00:00,28,3.0,0,4-2-3-1,-65,-24,2933.33333333,2232.55555556,-5.0,-529.0,4,5,0,0,0.0,0.0
17,899.0,38,Houston Dynamo,30.0,Portland Timbers,2016-09-25 01:00:00,28,3.0,1,4-1-4-1,9,20,-1911.66666667,-1399.22222222,-82.3333333333,761.222222222,5,6,0,0,0.0,0.33333
18,903.0,39,Columbus Crew,36.0,New England Revolution,2016-09-25 23:00:00,28,3.0,1,4-2-3-1,-28,32,-5973.33333333,295.111111111,-99.6666666667,-2575.55555556,6,6,0,0,0.33333,1.0
19,894.0,40,Chicago Fire,24.0,New York City FC,2016-09-24 00:00:00,28,3.0,0,4-2-3-1,0,-33,-2872.44444444,-687.444444444,6.33333333333,-3190.77777778,6,4,0,0,0.66666,0.0
20,59.0,41,Southampton FC,47.0,West Ham United,2016-09-25 15:00:00,6,3.0,0,4-2-3-1,-16,-112,619.0,-268.333333333,40.0,754.666666667,3,3,0,0,0.66666,0.0
21,52.0,42,Manchester City,45.0,Swansea City,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,72,-21,3232.0,1683.0,165.333333333,813.222222222,9,2,0,0,1.0,0.33333
