,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,current_record,opp_record,goals_for,opp_goals_for,goals_against,opp_goals_against,rpi,goals,points,current_team_possession,current_team_yellow_cards,current_team_goal_attempts,current_team_dangerous_attacks,current_team_sec_half_goals,current_team_saves,current_team_corner_kicks,current_team_ball_safe,current_team_first_half_goals,current_team_shots_on_target,current_team_attacks,current_team_goal_attempts_allowed,current_team_goal_kicks,current_team_shots_total,opp_team_possession,opp_team_yellow_cards,opp_team_goal_attempts,opp_team_dangerous_attacks,opp_team_sec_half_goals,opp_team_saves,opp_team_corner_kicks,opp_team_ball_safe,opp_team_first_half_goals,opp_team_shots_on_target,opp_team_attacks,opp_team_goal_attempts_allowed,opp_team_goal_kicks,opp_team_shots_total,offensive_ranking,opp_defensive_ranking,rpi_ranking,opp_rpi_ranking
0,900.0,21,FC Dallas,23.0,Real Salt Lake,2016-09-25 01:30:00,28,3.0,0,4-2-3-1,0.433333333333,0.166666666667,5,3,4,5,0.506589147287,0,0,135.0,8.0,39.0,163.0,2,4.0,19.0,238.0,3,21.0,301.0,20.0,20.0,39.0,176.0,9.0,34.0,186.0,3,5.0,10.0,287.0,0,12.0,331.0,23.0,18.0,34.0,1.0,0.33333,1.0,0.0
1,896.0,22,Colorado Rapids,28.0,Vancouver Whitecaps FC,2016-09-24 23:00:00,28,3.0,0,4-2-3-1,0.566666666667,0.375,1,3,2,3,0.439556277056,0,0,159.0,11.0,24.0,142.0,1,12.0,9.0,280.0,0,8.0,294.0,27.0,24.0,24.0,145.0,6.0,21.0,128.0,2,10.0,11.0,263.0,1,5.0,284.0,29.0,36.0,21.0,0.0,1.0,0.33333,0.66666
2,900.0,23,Real Salt Lake,21.0,FC Dallas,2016-09-25 01:30:00,28,3.0,1,4-3-3,0.166666666667,0.433333333333,3,5,5,4,0.371212121212,0,0,176.0,9.0,34.0,186.0,3,5.0,10.0,287.0,0,12.0,331.0,23.0,18.0,34.0,135.0,8.0,39.0,163.0,2,4.0,19.0,238.0,3,21.0,301.0,20.0,20.0,39.0,0.33333,0.0,0.0,1.0
3,894.0,24,New York City FC,40.0,Chicago Fire,2016-09-24 00:00:00,28,3.0,1,4-3-3,0.5,0.433333333333,6,6,7,4,0.485416666667,0,0,186.0,5.0,28.0,146.0,5,18.0,15.0,329.0,1,13.0,304.0,51.0,38.0,28.0,159.0,,29.0,123.0,3,9.0,16.0,282.0,3,14.0,258.0,36.0,34.0,29.0,0.33333,0.66666,0.66666,0.33333
4,895.0,25,Philadelphia Union,34.0,Toronto FC,2016-09-24 21:00:00,28,3.0,0,4-2-3-1,0.192307692308,0.5,2,5,6,5,0.448270721527,0,0,141.0,5.0,31.0,134.0,1,11.0,15.0,289.0,1,16.0,317.0,37.0,24.0,31.0,154.0,,31.0,206.0,3,9.0,17.0,290.0,2,13.0,319.0,24.0,24.0,31.0,0.33333,0.66666,0.33333,1.0
5,902.0,26,LA Galaxy,37.0,Seattle Sounders,2016-09-25 20:00:00,28,3.0,1,4-4-2,0.642857142857,0.5,9,4,7,5,0.452922077922,0,0,125.0,6.0,23.0,106.0,4,8.0,5.0,269.0,5,10.0,251.0,35.0,43.0,23.0,151.0,7.0,22.0,177.0,4,8.0,13.0,260.0,0,8.0,299.0,28.0,21.0,22.0,0.66666,1.0,0.66666,0.33333
6,901.0,27,Sporting Kansas City,32.0,San Jose Earthquakes,2016-09-25 02:30:00,28,3.0,0,4-3-3,0.357142857143,0.357142857143,5,1,7,3,0.485714285714,0,0,160.0,3.0,28.0,155.0,3,8.0,14.0,268.0,2,15.0,286.0,26.0,26.0,28.0,144.0,5.0,23.0,144.0,0,6.0,14.0,280.0,1,10.0,286.0,25.0,28.0,23.0,0.33333,1.0,0.66666,1.0
7,896.0,28,Vancouver Whitecaps FC,22.0,Colorado Rapids,2016-09-24 23:00:00,28,3.0,1,4-4-2,0.375,0.566666666667,3,1,3,2,0.456845238095,0,0,145.0,6.0,21.0,128.0,2,10.0,11.0,263.0,1,5.0,284.0,29.0,36.0,21.0,159.0,11.0,24.0,142.0,1,12.0,9.0,280.0,0,8.0,294.0,27.0,24.0,24.0,0.0,1.0,0.66666,0.33333
8,898.0,29,Montreal Impact,31.0,NY Red Bulls,2016-09-24 23:00:00,28,3.0,0,4-2-3-1,0.147058823529,0.6875,3,6,8,5,0.633986928105,0,0,147.0,6.0,39.0,190.0,2,7.0,17.0,275.0,1,13.0,315.0,25.0,16.0,39.0,160.0,4.0,30.0,148.0,3,7.0,15.0,281.0,3,18.0,293.0,28.0,38.0,30.0,1.0,0.66666,1.0,1.0
9,899.0,30,Portland Timbers,38.0,Houston Dynamo,2016-09-25 01:00:00,28,3.0,0,4-2-3-1,0.666666666667,0.5,4,5,4,6,0.359411421911,0,0,151.0,5.0,35.0,153.0,3,17.0,13.0,257.0,1,12.0,293.0,33.0,22.0,35.0,152.0,9.0,22.0,104.0,2,8.0,14.0,270.0,3,12.0,262.0,30.0,27.0,22.0,0.66666,1.0,0.0,0.0
