,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,current_record,opp_record,goals_for,opp_goals_for,goals_against,opp_goals_against,rpi,goals,points,current_team_possession,current_team_yellow_cards,current_team_goal_attempts,current_team_dangerous_attacks,current_team_sec_half_goals,current_team_saves,current_team_corner_kicks,current_team_ball_safe,current_team_first_half_goals,current_team_shots_on_target,current_team_attacks,current_team_goal_attempts_allowed,current_team_goal_kicks,current_team_shots_total,opp_team_possession,opp_team_yellow_cards,opp_team_goal_attempts,opp_team_dangerous_attacks,opp_team_sec_half_goals,opp_team_saves,opp_team_corner_kicks,opp_team_ball_safe,opp_team_first_half_goals,opp_team_shots_on_target,opp_team_attacks,opp_team_goal_attempts_allowed,opp_team_goal_kicks,opp_team_shots_total,offensive_ranking,opp_defensive_ranking,rpi_ranking,opp_rpi_ranking
0,79.0,41,Southampton FC,53.0,Burnley FC,2016-10-16 15:00:00,8,3.0,1,4-3-3,0.8333333333333334,0.28571428571428575,4,2,0,4,0.5952380952380953,0,0,173.0,3.0,36.0,147.0,3,5.0,15.0,309.0,1,20.0,339.0,19.0,30.0,36.0,113.0,,19.0,89.0,1,7.0,10.0,297.0,1,8.0,293.0,26.0,28.0,19.0,0.66666,1.0,1.0,1.0
1,72.0,42,Manchester City,44.0,Everton FC,2016-10-15 14:00:00,8,3.0,1,4-3-3,0.7142857142857143,0.5,7,4,3,3,0.7637987012987013,0,0,172.0,7.0,37.0,152.0,4,13.0,15.0,286.0,3,23.0,310.0,28.0,19.0,37.0,157.0,9.0,25.0,136.0,0,2.0,19.0,293.0,4,11.0,312.0,15.0,17.0,25.0,1.0,1.0,1.0,1.0
2,75.0,43,Arsenal FC,45.0,Swansea City,2016-10-15 14:00:00,8,3.0,1,4-2-3-1,1.0,0.0,8,2,1,6,0.5654761904761905,0,0,179.0,,33.0,174.0,4,4.0,19.0,274.0,4,16.0,322.0,17.0,16.0,33.0,112.0,5.0,26.0,109.0,0,8.0,6.0,280.0,2,11.0,261.0,34.0,35.0,26.0,1.0,0.33333,0.66666,0.66666
3,72.0,44,Everton FC,42.0,Manchester City,2016-10-15 14:00:00,8,3.0,0,4-3-3,0.5,0.7142857142857143,4,7,3,3,0.625,0,0,157.0,9.0,25.0,136.0,0,2.0,19.0,293.0,4,11.0,312.0,15.0,17.0,25.0,172.0,7.0,37.0,152.0,4,13.0,15.0,286.0,3,23.0,310.0,28.0,19.0,37.0,0.33333,0.0,1.0,1.0
4,75.0,45,Swansea City,43.0,Arsenal FC,2016-10-15 14:00:00,8,3.0,0,4-2-3-1,0.0,1.0,2,8,6,1,0.53125,0,0,112.0,5.0,26.0,109.0,0,8.0,6.0,280.0,2,11.0,261.0,34.0,35.0,26.0,179.0,,33.0,174.0,4,4.0,19.0,274.0,4,16.0,322.0,17.0,16.0,33.0,0.33333,0.66666,0.66666,0.66666
5,74.0,46,West Bromwich Albion,54.0,Tottenham Hotspur,2016-10-15 14:00:00,8,3.0,1,4-4-1-1,0.6428571428571429,1.0,6,5,4,1,0.4504429678848284,0,0,143.0,9.0,27.0,162.0,2,4.0,13.0,263.0,4,16.0,248.0,22.0,27.0,27.0,183.0,4.0,44.0,155.0,1,9.0,28.0,314.0,4,23.0,360.0,19.0,22.0,44.0,0.66666,0.0,0.33333,1.0
6,77.0,47,West Ham United,59.0,Crystal Palace,2016-10-15 16:30:00,8,3.0,0,4-3-3,0.16666666666666666,0.8333333333333334,3,8,8,4,0.2619047619047619,0,0,140.0,8.0,30.0,151.0,3,11.0,16.0,261.0,0,8.0,283.0,27.0,17.0,30.0,155.0,8.0,23.0,125.0,6,5.0,24.0,291.0,2,15.0,262.0,25.0,26.0,23.0,0.33333,0.66666,0.0,0.66666
7,71.0,48,Chelsea FC,52.0,Leicester City,2016-10-15 11:30:00,8,3.0,1,4-2-3-1,0.37499999999999994,0.5,3,4,5,4,0.2916666666666667,0,0,164.0,5.0,30.0,169.0,3,6.0,14.0,278.0,0,13.0,319.0,19.0,15.0,30.0,143.0,3.0,21.0,140.0,3,10.0,16.0,285.0,1,11.0,313.0,32.0,26.0,21.0,0.33333,1.0,0.0,0.66666
8,76.0,49,Stoke City,60.0,Sunderland AFC,2016-10-15 14:00:00,8,3.0,1,4-3-3,0.35714285714285715,0.16666666666666666,3,3,6,5,0.4517857142857143,0,0,130.0,4.0,22.0,133.0,3,13.0,13.0,264.0,0,11.0,270.0,30.0,28.0,22.0,129.0,7.0,16.0,142.0,2,18.0,10.0,252.0,1,6.0,236.0,47.0,37.0,16.0,0.0,1.0,0.33333,0.0
9,73.0,50,Hull City,55.0,Bournemouth AFC,2016-10-15 14:00:00,8,3.0,0,4-3-2-1,0.0,0.5,2,3,11,6,0.35416666666666663,0,0,96.0,4.0,11.0,76.0,2,18.0,9.0,294.0,0,6.0,246.0,51.0,36.0,11.0,139.0,7.0,25.0,148.0,1,15.0,15.0,255.0,2,10.0,249.0,32.0,25.0,25.0,0.0,0.33333,0.0,0.33333
