,round,scheduled,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_allowed,goals_for,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_goals_allowed,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,points,random,ratio_ball_safe_to_dangerous_attacks,ratio_of_attacks,actual,SVC,0,1,2
0,28,9/25/16 1:30,900,21,FC Dallas,23,Real Salt Lake,0,4,5,0.128205128,1,0.782608696,1,5,0.97037037,0.396946565,0,3,1.264705882,0.541528239,1,0,1.010292321,1.161677415,0.952472834
2,28,9/25/16 1:30,900,23,Real Salt Lake,21,FC Dallas,1,5,3,0.088235294,0.33333,0.8,1,4,0.924012158,0.480263158,0,3,1.153310105,0.561933535,1,3,-0.777719637,-0.625830411,-0.004685621
1,28,9/24/16 23:00,896,22,Colorado Rapids,28,Vancouver Whitecaps FC,0,2,1,0.041666667,0,0.896551724,0.66666,3,1.15,0.591973244,0,3,1.05,0.482993197,1,0,0.748012412,0.947261759,1.06733742
7,28,9/24/16 23:00,896,28,Vancouver Whitecaps FC,22,Colorado Rapids,1,3,3,0.142857143,0,0.925925926,1,2,1.021428571,0.503496503,0,3,1.079847909,0.450704225,1,3,-1.073989213,-0.641176466,0.140340847
3,28,9/24/16 0:00,894,24,New York City FC,40,Chicago Fire,1,7,6,0.214285714,0.33333,0.888888889,0.33333,4,1.029315961,0.490506329,0,3,0.924012158,0.480263158,3,3,-1.591739536,-1.11454831,0.739841774
19,28,9/24/16 0:00,894,40,Chicago Fire,24,New York City FC,0,4,6,0.206896552,0.66666,0.862745098,0,7,1.264705882,0.541528239,0,0,0.914893617,0.476744186,0,0,-0.122498511,0.091503979,0.575186107
4,28,9/24/16 21:00,895,25,Philadelphia Union,34,Toronto FC,0,6,2,0.064516129,0.33333,0.791666667,1,5,1.042704626,0.505119454,0,1,1.096885813,0.422712934,1,0,-0.055057179,1.335324885,1.884199801
13,28,9/24/16 21:00,895,34,Toronto FC,25,Philadelphia Union,1,5,5,0.161290323,0.66666,0.837837838,0,6,1.140077821,0.5221843,0,3,1.1,0.645768025,1,3,-1.445391611,-1.119227002,-0.030022172
5,28,9/25/16 20:00,902,26,LA Galaxy,37,Seattle Sounders,1,7,9,0.391304348,0.66666,0.821428571,0.66666,5,1.079847909,0.450704225,0,0,0.933085502,0.422310757,0,0,0.992186563,1.864302534,0.562145036
16,28,9/25/16 20:00,902,37,Seattle Sounders,26,LA Galaxy,0,5,4,0.181818182,0,0.8,0,7,1.067164179,0.541958042,0,0,1.15,0.591973244,3,0,0.408278426,0.981551708,0.414776691
6,28,9/25/16 2:30,901,27,Sporting Kansas City,32,San Jose Earthquakes,0,7,5,0.178571429,0.33333,0.88,1,3,1.05,0.482993197,0,3,1.067164179,0.541958042,3,0,1.185719001,1.04591478,0.798880111
11,28,9/25/16 2:30,901,32,San Jose Earthquakes,27,Sporting Kansas City,1,3,1,0.043478261,0,0.730769231,0.66666,7,0.933085502,0.422310757,0,1,1.021428571,0.503496503,0,3,-0.951099315,-1.279484456,-1.373154857
8,28,9/24/16 23:00,898,29,Montreal Impact,31,NY Red Bulls,0,8,3,0.076923077,1,0.821428571,0.66666,5,1.1,0.645768025,0,0,1.145454545,0.603174603,0,0,1.60684832,0.427502211,0.806106372
10,28,9/24/16 23:00,898,31,NY Red Bulls,29,Montreal Impact,1,5,6,0.2,0.66666,0.68,0.33333,8,1.160493827,0.430851064,0,3,1.042704626,0.505119454,3,3,0.642171059,-0.503248026,-0.345806338
9,28,9/25/16 1:00,899,30,Portland Timbers,38,Houston Dynamo,0,4,4,0.114285714,0.66666,0.8,0.33333,6,1.153310105,0.561933535,0,1,1.140077821,0.5221843,0,0,0.923796384,1.205225191,0.821226797
17,28,9/25/16 1:00,899,38,Houston Dynamo,30,Portland Timbers,1,6,5,0.227272727,0,0.878787879,0.33333,4,1.096885813,0.422712934,0,1,0.97037037,0.396946565,3,3,-1.60827714,-1.53455323,-0.0385503
12,28,9/24/16 23:00,897,33,DC United,35,Orlando City SC,1,7,6,0.153846154,1,0.727272727,0,9,1.034965035,0.574324324,0,0,1.029315961,0.490506329,3,1,-1.103019305,-0.891071593,0.365190022
14,28,9/24/16 23:00,897,35,Orlando City SC,33,DC United,0,9,7,0.21875,1,0.8,0,7,0.914893617,0.476744186,0,3,1.080152672,0.530035336,0,1,0.251033614,0.738372618,0.724207853
15,28,9/25/16 23:00,903,36,New England Revolution,39,Columbus Crew,0,2,8,0.195121951,1,0.823529412,0.33333,6,1.080152672,0.530035336,0,3,1.160493827,0.430851064,0,0,-1.617656716,-0.513087091,0.286231541
18,28,9/25/16 23:00,903,39,Columbus Crew,36,New England Revolution,1,6,6,0.214285714,0.33333,0.935483871,1,2,1.145454545,0.603174603,0,0,1.034965035,0.574324324,3,3,-0.552674941,-0.749954212,-0.282427102
20,6,9/25/16 15:00,59,41,Southampton FC,47,West Ham United,0,3,3,0.090909091,0.66666,0.685714286,0,11,0.866171004,0.600858369,0,0,1.08650519,0.538216561,3,3,-1.787507878,-0.26901435,2.462785014
26,6,9/25/16 15:00,59,47,West Ham United,41,Southampton FC,1,11,5,0.185185185,0.33333,0.85,1,3,1.014545455,0.440860215,0,3,1.101083032,0.57704918,0,0,0.477303891,0.540053699,-0.328581631
21,6,9/24/16 14:00,52,42,Manchester City,45,Swansea City,0,2,9,0.209302326,1,0.861111111,0.33333,5,1.08650519,0.538216561,0,1,1.135416667,0.532110092,3,0,-0.508215713,0.834071278,1.005757088
24,6,9/24/16 14:00,52,45,Swansea City,42,Manchester City,1,5,3,0.157894737,0,0.894736842,1,2,0.871900826,0.654028436,0,3,1.014545455,0.440860215,0,3,0.519501183,0.052376352,-0.876624343
22,6,9/24/16 16:30,58,43,Arsenal FC,48,Chelsea FC,1,3,9,0.264705882,1,0.666666667,1,4,1.03030303,0.490196078,0,3,1.051369863,0.586319218,3,3,1.275728075,-0.664086237,-1.147396341
27,6,9/24/16 16:30,58,48,Chelsea FC,43,Arsenal FC,0,4,6,0.176470588,0.66666,0.88,0.66666,3,0.85620915,0.320610687,0,0,1.141221374,0.602006689,0,0,-0.090062293,0.617081129,0.477230513
23,6,9/24/16 14:00,55,44,Everton FC,55,Bournemouth AFC,0,1,7,0.189189189,1,0.871794872,0,5,1.135416667,0.532110092,0,0,1.027692308,0.413173653,0,1,-1.898159899,-0.723086316,0.675698822
34,6,9/24/16 14:00,55,55,Bournemouth AFC,44,Everton FC,1,5,2,0.090909091,0.33333,0.923076923,1,1,1.035369775,0.391304348,0,1,0.871900826,0.654028436,3,3,-0.307214896,-0.595992781,-0.880592354
25,6,9/24/16 14:00,56,46,West Bromwich Albion,49,Stoke City,0,3,4,0.16,0.33333,0.709677419,0,9,0.937956204,0.53307393,0,1,0.866171004,0.600858369,1,3,0.238867679,0.295539636,0.361506551
28,6,9/24/16 14:00,56,49,Stoke City,46,West Bromwich Albion,1,9,1,0.04,0.33333,0.888888889,0.66666,3,1.101083032,0.57704918,0,0,1.156862745,0.396610169,1,0,0.577819269,0.12190527,-0.027632276
29,6,9/24/16 14:00,54,50,Hull City,56,Liverpool FC,0,6,2,0.095238095,0,0.869565217,0.66666,3,1.141221374,0.602006689,0,1,0.85620915,0.320610687,0,0,1.496972374,2.369607733,0.736241151
35,6,9/24/16 14:00,54,56,Liverpool FC,50,Hull City,1,3,7,0.269230769,0.66666,0.853658537,0,6,1.051369863,0.586319218,0,0,1.03030303,0.490196078,3,3,-0.22278301,-1.184651232,-0.634082621
30,6,9/24/16 14:00,57,51,Middlesbrough FC,54,Tottenham Hotspur,1,5,2,0.111111111,0,0.956521739,1,1,0.905349794,0.436363636,0,0,1.035369775,0.391304348,0,3,-0.108095573,-0.176103838,-0.853894437
