,Unnamed: 0,Probability 0,Probability 1,Probability 2,gnb_converted_goals_preds,gnb_no_ties_preds,gnb_points_preds,is_home,log_converted_goals_preds,log_no_ties_preds,log_points_preds,opp_name,randomForest_converted_goals_preds,randomForest_no_ties_preds,randomForest_points_preds,scheduled,team_name,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,current_record,opp_record,goals_for,opp_goals_for,goals_against,opp_goals_against,rpi,goals,points,current_team_possession,current_team_yellow_cards,current_team_goal_attempts,current_team_dangerous_attacks,current_team_sec_half_goals,current_team_saves,current_team_corner_kicks,current_team_ball_safe,current_team_first_half_goals,current_team_shots_on_target,current_team_attacks,current_team_goal_attempts_allowed,current_team_goal_kicks,current_team_shots_total,opp_team_possession,opp_team_yellow_cards,opp_team_goal_attempts,opp_team_dangerous_attacks,opp_team_sec_half_goals,opp_team_saves,opp_team_corner_kicks,opp_team_ball_safe,opp_team_first_half_goals,opp_team_shots_on_target,opp_team_attacks,opp_team_goal_attempts_allowed,opp_team_goal_kicks,opp_team_shots_total
0,0,0.2068706115928295,0.3416110901706205,0.4515182982365501,1.0,3.0,3.0,0.0,1.0,3.0,3.0,Hull City,1.0,3.0,3.0,2016-11-06 14:15:00,Southampton FC,112.0,41,Southampton FC,56.0,Liverpool FC,2016-11-19 15:00:00,12,3.0,1,4-3-1-2,0.16666666666666666,1.0,2,12,5,4,0.3095238095238096,0.0,1.0,148.0,6.611111111111112,26.0,146.0,0,8.0,20.0,294.0,2,12.0,343.0,28.0,30.0,26.0,189.0,4.0,53.0,186.0,4,11.0,12.0,338.0,8,34.0,362.0,22.0,15.0,53.0
1,1,0.4481545281524506,0.3174152797433437,0.2344301921042057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Southampton FC,0.0,0.0,0.0,2016-11-06 14:15:00,Hull City,113.0,42,Manchester City,59.0,Crystal Palace,2016-11-19 15:00:00,12,3.0,0,4-1-4-1,0.6875,0.0,6,5,2,10,0.6236227203647416,2.0,3.0,194.0,7.0,42.0,220.0,3,4.0,25.0,301.0,3,18.0,390.0,15.0,19.0,42.0,150.0,6.611111111111112,33.0,171.0,3,9.0,18.0,325.0,2,18.0,368.0,34.0,23.0,33.0
2,2,0.0406598225402204,0.2829024928055162,0.6764376846542633,1.0,3.0,3.0,1.0,1.0,3.0,3.0,Middlesbrough FC,1.0,3.0,3.0,2016-11-05 15:00:00,Manchester City,111.0,43,Arsenal FC,58.0,Manchester United,2016-11-19 12:30:00,12,3.0,0,4-2-3-1,0.6875,0.5666666666666667,5,3,2,5,0.5305706521739131,1.0,1.0,181.0,5.0,37.0,208.0,3,5.0,23.0,291.0,2,16.0,353.0,18.0,15.0,37.0,183.0,6.0,39.0,194.0,0,5.0,26.0,264.0,3,19.0,333.0,19.0,23.0,39.0
3,3,0.6920710854665125,0.23791553465795515,0.0700133798755323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City,0.0,0.0,0.0,2016-11-05 15:00:00,Middlesbrough FC,115.0,44,Everton FC,45.0,Swansea City,2016-11-19 15:00:00,12,3.0,1,4-2-3-1,0.3333333333333333,0.16666666666666666,3,2,7,6,0.6726190476190477,1.0,1.0,159.0,8.0,21.0,132.0,3,10.0,18.0,274.0,0,15.0,312.0,27.0,19.0,21.0,137.0,2.0,25.0,126.0,1,4.0,13.0,305.0,1,15.0,293.0,24.0,26.0,25.0
4,4,0.17400995876412775,0.31840173150712703,0.5075883097287452,0.0,3.0,3.0,1.0,1.0,3.0,3.0,Tottenham Hotspur,1.0,3.0,3.0,2016-11-06 12:00:00,Arsenal FC,115.0,45,Swansea City,44.0,Everton FC,2016-11-19 15:00:00,12,3.0,0,4-4-2,0.16666666666666666,0.3333333333333333,2,3,6,7,0.4857142857142857,1.0,1.0,137.0,2.0,25.0,126.0,1,4.0,13.0,305.0,1,15.0,293.0,24.0,26.0,25.0,159.0,8.0,21.0,132.0,3,10.0,18.0,274.0,0,15.0,312.0,27.0,19.0,21.0
5,5,0.4741639801261,0.33253809224218245,0.1932979276317176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Arsenal FC,0.0,0.0,0.0,2016-11-06 12:00:00,Tottenham Hotspur,120.0,46,West Bromwich Albion,53.0,Burnley FC,2016-11-21 20:00:00,12,3.0,1,4-1-4-1,0.375,0.8076923076923077,3,5,7,3,0.3854166666666667,4.0,3.0,112.0,9.0,17.0,98.0,3,10.0,9.0,272.0,0,7.0,278.0,33.0,32.0,17.0,110.0,6.0,21.0,101.0,2,20.0,7.0,300.0,3,11.0,265.0,41.0,23.0,21.0
6,6,0.4877592547254368,0.3324405542002956,0.1798001910742676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea FC,1.0,3.0,0.0,2016-11-05 17:30:00,Everton FC,118.0,47,West Ham United,54.0,Tottenham Hotspur,2016-11-19 17:30:00,12,3.0,0,3-4-3,0.5,0.5,2,2,3,2,0.6190476190476191,2.0,0.0,149.0,9.0,28.0,172.0,2,10.0,20.0,267.0,0,12.0,310.0,28.0,19.0,28.0,186.0,9.0,38.0,159.0,1,5.0,14.0,324.0,1,16.0,328.0,22.0,29.0,38.0
7,7,0.18849964959986587,0.3487918286328471,0.4627085217672871,0.0,3.0,3.0,1.0,1.0,3.0,3.0,Everton FC,1.0,3.0,3.0,2016-11-05 17:30:00,Chelsea FC,119.0,48,Chelsea FC,51.0,Middlesbrough FC,2016-11-20 16:00:00,12,3.0,0,3-4-3,1.0,0.6428571428571429,11,3,0,1,0.6104166666666666,1.0,3.0,149.0,6.611111111111112,35.0,119.0,5,6.0,12.0,286.0,6,23.0,273.0,20.0,23.0,35.0,101.0,5.0,21.0,99.0,2,15.0,9.0,329.0,1,10.0,281.0,37.0,42.0,21.0
8,8,0.3613225762447559,0.33555124779773265,0.3031261759575115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Manchester United,1.0,3.0,3.0,2016-11-06 15:00:00,Swansea City,114.0,49,Stoke City,55.0,Bournemouth AFC,2016-11-19 15:00:00,12,3.0,1,4-2-3-1,0.8333333333333334,0.16666666666666666,6,1,2,4,0.5891472868217055,0.0,0.0,157.0,3.0,29.0,147.0,4,11.0,17.0,321.0,2,13.0,319.0,23.0,27.0,29.0,145.0,6.0,29.0,163.0,0,7.0,28.0,304.0,1,10.0,344.0,23.0,20.0,29.0
9,9,0.28274307899683604,0.33456645472375396,0.3826904662794097,1.0,3.0,3.0,0.0,1.0,3.0,3.0,Swansea City,1.0,0.0,3.0,2016-11-06 15:00:00,Manchester United,117.0,50,Hull City,60.0,Sunderland AFC,2016-11-19 15:00:00,12,3.0,0,3-5-2,0.2857142857142857,0.375,2,3,4,6,0.3195346320346321,0.0,0.0,139.0,4.0,18.0,116.0,2,11.0,8.0,283.0,0,7.0,260.0,34.0,35.0,18.0,138.0,12.0,12.0,112.0,2,13.0,4.0,235.0,1,8.0,225.0,46.0,35.0,12.0
