,Unnamed: 0,Probability 0,Probability 1,Probability 2,gnb_converted_goals_preds,gnb_no_ties_preds,gnb_points_preds,is_home,log_converted_goals_preds,log_no_ties_preds,log_points_preds,match_id,opp_name,randomForest_converted_goals_preds,randomForest_no_ties_preds,randomForest_points_preds,scheduled,team_name,team_name,opp_name,scheduled,is_home,match_id,points,goals
0,0.0,0.3670641786162872,0.3484014658675914,0.28453435551612144,1.0,3.0,3.0,1.0,1.0,3.0,0.0,112.0,Liverpool FC,1.0,3.0,3.0,2016-11-19 15:00:00,Southampton FC,Southampton FC,Liverpool FC,2016-11-19 15:00:00,1,112.0,1.0,0.0
1,1.0,0.17634438306249148,0.3029780838128228,0.5206775331246858,0.0,3.0,1.0,0.0,1.0,3.0,3.0,112.0,Southampton FC,1.0,3.0,3.0,2016-11-19 15:00:00,Liverpool FC,Manchester City,Crystal Palace,2016-11-19 15:00:00,0,113.0,3.0,2.0
2,2.0,0.2563819829790969,0.3550274369237366,0.38859058009716657,0.0,0.0,0.0,0.0,0.0,3.0,3.0,113.0,Crystal Palace,0.0,0.0,3.0,2016-11-19 15:00:00,Manchester City,Arsenal FC,Manchester United,2016-11-19 12:30:00,0,111.0,1.0,1.0
3,3.0,0.0921748757073732,0.2933187252213387,0.614506399071288,1.0,3.0,3.0,1.0,1.0,3.0,3.0,113.0,Manchester City,1.0,3.0,3.0,2016-11-19 15:00:00,Crystal Palace,Everton FC,Swansea City,2016-11-19 15:00:00,1,115.0,1.0,1.0
4,4.0,0.0902015092237437,0.3075131654218512,0.602285325354405,1.0,3.0,3.0,0.0,1.0,3.0,3.0,111.0,Manchester United,1.0,3.0,3.0,2016-11-19 12:30:00,Arsenal FC,Swansea City,Everton FC,2016-11-19 15:00:00,0,115.0,1.0,1.0
5,5.0,0.2996857466552643,0.31665817400273544,0.3836560793420001,1.0,3.0,3.0,1.0,1.0,3.0,3.0,111.0,Arsenal FC,1.0,3.0,0.0,2016-11-19 12:30:00,Manchester United,West Bromwich Albion,Burnley FC,2016-11-21 20:00:00,1,120.0,3.0,4.0
6,6.0,0.3292784341112192,0.3389274569856646,0.3317941089031161,1.0,3.0,3.0,1.0,1.0,3.0,1.0,115.0,Swansea City,1.0,0.0,1.0,2016-11-19 15:00:00,Everton FC,West Ham United,Tottenham Hotspur,2016-11-19 17:30:00,0,118.0,0.0,2.0
7,7.0,0.11681394697944615,0.3231666043812016,0.5600194486393524,1.0,3.0,3.0,0.0,1.0,3.0,3.0,115.0,Everton FC,1.0,3.0,3.0,2016-11-19 15:00:00,Swansea City,Chelsea FC,Middlesbrough FC,2016-11-20 16:00:00,0,119.0,3.0,1.0
8,8.0,0.3647542915161122,0.3271042101457469,0.308141498338141,1.0,3.0,3.0,1.0,1.0,3.0,0.0,120.0,Burnley FC,1.0,0.0,3.0,2016-11-21 20:00:00,West Bromwich Albion,Stoke City,Bournemouth AFC,2016-11-19 15:00:00,1,114.0,0.0,0.0
9,9.0,0.1801769810109936,0.3373542238180047,0.4824687951710017,0.0,3.0,1.0,0.0,1.0,3.0,3.0,120.0,West Bromwich Albion,1.0,3.0,3.0,2016-11-21 20:00:00,Burnley FC,Hull City,Sunderland AFC,2016-11-19 15:00:00,0,117.0,0.0,0.0
